id;name;description;configuration
1;deposit;Corporate River Creative;Bedfordshire ivory
2;Shirt Ergonomic National;bypass;Rial connect
3;4th;Card vertical primary;compressing parsing
4;South;Aruban port;green action-items Representative
5;impactful;Associate Buckinghamshire;protocol
6;card navigate;scale matrix;unleash payment wireless
7;Planner;world-class application program;deposit Account
8;Arizona;Ball Shore;Small coherent sticky
9;Technician Ameliorated;Barbados;management multi-byte Fresh
10;Texas composite Steel;sexy;Jewelery bricks-and-clicks quantify
