id;name;description;data_type;value
1;up;Lead Shoal;web-enabled;Fantastic
2;Bedfordshire Vision-oriented;redundant violet;optical;viral
3;Account PNG;viral;Buckinghamshire Function-based Motorway;Fish
4;Sausages;Developer website;Assistant Soft;Right-sized Jewelery
5;Plaza;Birr;Ergonomic;Towels drive Global
6;Beauty interface Washington;Accountability Berkshire Car;wireless Officer;blue
7;leverage Car;Ball;program;recontextualize
8;index;optimize;Hollow Metal payment;Cheese Ergonomic bypassing
9;turquoise e-enable;Pine;modular Tugrik;driver Industrial iterate
10;transmitter parse;deploy;neural;Agent Checking
