id;name;description;u_uid
1;salmon;Montana Avon Fields;Polarised Sleek
2;Awesome multi-byte Account;orchid Cambridgeshire copying;Maryland
3;Infrastructure Awesome compressing;Profit-focused content-based Chicken;extensible
4;Fresh transmitting;Tactics International Multi-layered;bluetooth Hat
5;Metal;solid;Fresh Flat panel
6;microchip;Automotive copying Direct;Intelligent Security Account
7;hacking JSON;Jewelery Borders digital;U.S. Outdoors
8;dynamic withdrawal bluetooth;paradigms;Loan
9;Investor Auto Orchestrator;Frozen;high-level
10;migration;open-source Soft generate;plum Tennessee tan
